"title","artists","date","duration","genre","award","nation"
"Adios","Gilli","15 luglio 2016","4:04","Trap","1_platino","dk"
"Addiction","Medina","1º novembre 2010","3:38","Elettropop","1_platino","dk"
"2U","David Guetta","9 giugno 2017","3:15","Electronic dance music","1_platino","dk"
"Apologize","Timbaland","6 novembre 2007","3:06","Contemporary R&B,,Pop rock","1_platino","dk"
"All Time Low","Jon Bellion","13 maggio 2016","3:37","Pop rock,,Elettropop","1_platino","dk"
"All About That Bass","Meghan Trainor","2 giugno 2014","3:10","Bubblegum pop,,Doo-wop","1_platino","dk"
"Around the World (La La La La La)","A Touch of Class","1999","3:35","Eurodance,,Trance,,Pop,,Elettropop","1_platino","dk"
"Are You With Me","Lost Frequencies","27 ottobre 2014","2:18","Deep house,,Dance","1_platino","dk"
"Ain't No Mountain High Enough","Marvin Gaye,Tammi Terrell","1967","2:28","Soul,,Rhythm and blues,,Pop","1_platino","dk"
"Alors on danse","Stromae","21 settembre 2009","3:28","Musica house,,Hip house,,Trip hop,,Hip hop,,Electronic dance music,,Pop","1_platino","dk"
"2002","Anne-Marie","20 aprile 2018","3:06","Pop","1_platino","dk"
"Ain't My Fault","Zara Larsson","2 settembre 2016","3:44","Pop","1_platino","dk"
"All Good Things (Come to an End)","Nelly Furtado","24 novembre 2006","5:11,(album version),,5:12,(versione Zero Assoluto),,3:47,(Uk Radio Mix)","Pop latino,,Folk,,Contemporary R&B","1_platino","dk"
"Ayo","Chris Brown,Tyga","6 gennaio 2015","3:46","Gangsta rap,,Contemporary R&B,,Elettrorap","1_platino","dk"
"All the Stars","Kendrick Lamar,SZA","4 gennaio 2018","3:55","Hip hop","1_platino","dk"
"Another One Bites the Dust","Queen","22 agosto 1980","3:34","Funk rock","1_platino","dk"
"7 Rings","Ariana Grande","18 gennaio 2019","2:58","Pop rap,,Trap,,Contemporary R&B","1_platino","dk"
"Always Remember Us This Way","Lady Gaga","24 novembre 2018  (vedi date di pubblicazione)","3:30","Country","1_platino","dk"
"Airplanes","B.o.B","13 aprile 2010","3:01","Alternative hip hop,,Rap rock","1_platino","dk"
"As Long as You Love Me","Justin Bieber","10 luglio 2012","3:49","Elettropop,,Dance","1_platino","dk"
"Aserejé","Las Ketchup","15 maggio 2002","3:31","Pop latino","1_platino","dk"
"Ain't Your Mama","Jennifer Lopez","7 aprile 2016","3:38","Pop","1_platino","dk"
"Back to You","Selena Gomez","10 maggio 2018","3:27","Dance pop,,Elettropop","1_platino","dk"
"Applause","Lady Gaga","12 agosto 2013","3:32","Elettropop,,Eurodance","1_platino","dk"
"Baby","Justin Bieber","19 febbraio 2010","3:38","Contemporary R&B","1_platino","dk"
"Attention","Charlie Puth","21 aprile 2017","3:31","Pop","1_platino","dk"
"Because of You","Kelly Clarkson","16 agosto 2005","3:39","Soft rock","1_platino","dk"
"Best Song Ever","One Direction","22 luglio 2013","3:22","Power pop,,Dance pop","1_platino","dk"
"Beauty and a Beat","Justin Bieber","24 ottobre 2012","3:48","Elettropop,,Dance","1_platino","dk"
