"title","artists","date","duration","genre","award","nation"
"1, 2, 3","Sofía Reyes","16 febbraio 2018","3:21","Pop latino,,Reggaeton","2_platino","usa"
"Bad Moon Rising","Creedence Clearwater Revival","3 agosto 1969","2:20","Rock","2_platino","usa"
"1985","Bowling for Soup","luglio 2004","3:13","Pop punk,,Power pop","2_platino","usa"
"Baby Got Back","Sir Mix-a-Lot","maggio 1992","4:22","Dirty rap","2_platino","usa"
"Animal I Have Become","Three Days Grace","18 aprile 2006","3:51","Alternative metal,,Post-grunge","2_platino","usa"
"Amantes de una noche","Natti Natasha,Bad Bunny","12 gennaio 2018","3:45","Reggaeton,,Pop latino","2_platino","usa"
"Animal","Neon Trees","16 marzo 2010    10 gennaio 2011  ","3:32","New wave,,Elettropop","2_platino","usa"
"3","Britney Spears","2 ottobre 2009","3:33","Elettropop","2_platino","usa"
"Bad Girls","Donna Summer","23 giugno 1979","4:55","Disco,,Pop","2_platino","usa"
"#Beautiful","Mariah Carey","6 maggio 2013","3:22","Contemporary R&B","2_platino","usa"
"Beautiful","Snoop Dogg","28 gennaio 2003    1º aprile 2003 ","4:58","Pop rap","2_platino","usa"
"Adventure of a Lifetime","Coldplay","6 novembre 2015","4:23,(versione album),,3:43,(versione radiofonica)","Dance pop","2_platino","usa"
"Be Without You","Mary J. Blige","novembre 2005","4:06","Contemporary R&B,,Hip hop soul","2_platino","usa"
"Bellyache","Billie Eilish","24 febbraio 2017","2:59","Elettropop","2_platino","usa"
"Ayo","Chris Brown,Tyga","6 gennaio 2015","3:46","Gangsta rap,,Contemporary R&B,,Elettrorap","2_platino","usa"
"American Boy","Estelle","17 marzo 2008    22 marzo 2008   8 aprile 2008   18 aprile 2008 ","4:44,(album version),–4:01,(radio edit)","Hip hop,,Disco","2_platino","usa"
"Back to Sleep","Chris Brown","5 novembre 2015","3:21","Contemporary R&B","2_platino","usa"
"Back to December","Taylor Swift","12 ottobre 2010  (Download digitale)  15 novembre 2010  (Stazioni radiofoniche)","4:54","Country pop","2_platino","usa"
"Beautiful","Akon","6 gennaio 2009","3:52","Dance pop,,Contemporary R&B","2_platino","usa"
"Bicycle Race/Fat Bottomed Girls","Queen","13 ottobre 1978","3:03,(Bicycle Race),,4:16,(Fat Bottomed Girls)","Glam rock,,Piano rock","2_platino","usa"
"Back to You","Selena Gomez","10 maggio 2018","3:27","Dance pop,,Elettropop","2_platino","usa"
"Bennie and the Jets","Elton John","4 febbraio 1974","5:23","Glam rock,,Boogie-woogie,,Piano rock,,Rhythm and blues","2_platino","usa"
"All Eyes on You","Meek Mill,Nicki Minaj,Chris Brown","26 giugno 2015","3:44","Alternative hip hop,,Contemporary R&B","2_platino","usa"
"2 of Amerikaz Most Wanted","Tupac Shakur,Snoop Dogg","7 maggio 1996","","Gangsta rap","2_platino","usa"
