"title","artists","date","duration","genre","award","nation"
"90min","Salmo","21 settembre 2018","3:51","Political hip hop","4_platino","it"
"Calma (Remix)","Pedro Capó,Farruko","5 ottobre 2018","3:58","Pop latino","4_platino","it"
"Are You With Me","Lost Frequencies","27 ottobre 2014","2:18","Deep house,,Dance","4_platino","it"
"Attention","Charlie Puth","21 aprile 2017","3:31","Pop","4_platino","it"
"Cold Water","Major Lazer","22 luglio 2016","3:05","Dance pop,,Deep house","4_platino","it"
"Comunque andare","Alessandra Amoroso","26 febbraio 2016","3:38","Dance pop","4_platino","it"
"Buon viaggio (Share the Love)","Cesare Cremonini","27 marzo 2015","3:26","Pop","4_platino","it"
"Cupido","Sfera Ebbasta","6 aprile 2018","3:30","Pop rap","4_platino","it"
"Dove e quando","Benji & Fede","31 maggio 2019","3:10","Bachata","4_platino","it"
"Adventure of a Lifetime","Coldplay","6 novembre 2015","4:23,(versione album),,3:43,(versione radiofonica)","Dance pop","4_platino","it"
"Counting Stars","OneRepublic","14 giugno 2013","4:17","Pop rock","4_platino","it"
"Davide","Gemitaiz","20 aprile 2018","3:26","Pop rap","4_platino","it"
"È sempre bello","Coez","11 gennaio 2019","3:23","Pop","4_platino","it"
"Be Mine","Ofenbach","25 novembre 2016","2:41","Deep house,,Dance pop","4_platino","it"
"Calipso","Charlie Charles,Dardust","26 aprile 2019","3:10","Pop rap","4_platino","it"
"Happy Days","Ghali","12 maggio 2017","3:18","Trap","4_platino","it"
"Assenzio","J-Ax,Fedez","18 novembre 2016","4:08","","4_platino","it"
"Felicità puttana","Thegiornalisti","13 giugno 2018","3:39","Pop","4_platino","it"
"Galway Girl","Ed Sheeran","7 aprile 2017","2:50","","4_platino","it"
"Habibi","Ghali","1º settembre 2017","3:04","Pop rap","4_platino","it"
"Candle in the Wind 1997","Elton John","13 settembre 1997","4:11","Pop barocco,,Pop rock,,Ballata","4_platino","it"
"Karaoke","Boomdabash,Alessandra Amoroso","11 giugno 2020","2:36","Pop","4_platino","it"
"Faccio un casino","Coez","10 marzo 2017","3:13","Pop rap","4_platino","it"
"L'essenziale","Marco Mengoni","14 febbraio 2013","3:40","Pop","4_platino","it"
"More Than You Know","Axwell Ʌ Ingrosso","27 maggio 2017","3:23","Electronic dance music","4_platino","it"
"Bohemian Rhapsody","Queen","31 ottobre 1975","9:00","Rock progressivo,,Hard rock,,Art rock","4_platino","it"
"The Greatest","Sia","6 settembre 2016","3:30","Pop","4_platino","it"
"La notte","Arisa","15 febbraio 2012","3:55","Ballata","4_platino","it"
"In the Name of Love","Martin Garrix,Bebe Rexha","29 luglio 2016","3:19","Future bass","4_platino","it"
"Dance Monkey","Tones and I","10 maggio 2019","3:29","Elettropop","4_platino","it"
"Lost on You","LP","10 giugno 2016","4:26","Folk rock","4_platino","it"
