"title","artists","date","duration","genre","award","nation"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","6_platino","au"
"Don't Let Me Down","The Chainsmokers","5 febbraio 2016","3:28","Dance pop","6_platino","au"
"Glorious","Macklemore","15 giugno 2017","3:40","Hip hop,,Pop rap","6_platino","au"
"California Gurls","Katy Perry","7 maggio 2010","3:55","Elettropop,,Funk,,Bubblegum pop,,Pop rap","6_platino","au"
"It Girl","Jason Derulo","9 agosto 2011","3:11","Pop,,Contemporary R&B","6_platino","au"
"Hips Don't Lie","Shakira","28 febbraio 2006","3:41","Salsa,,World music","6_platino","au"
"Meant to Be","Bebe Rexha","24 ottobre 2017","2:43","Country pop","6_platino","au"
"I Will Wait","Mumford & Sons","agosto 2012","4:36","Folk rock,,Indie folk","6_platino","au"
"Galway Girl","Ed Sheeran","7 aprile 2017","2:50","","6_platino","au"
"Better","Khalid","14 settembre 2018","3:49","Contemporary R&B","6_platino","au"
"Dreamlover","Mariah Carey","27 luglio 1993","3:53","Contemporary R&B,,Pop","6_platino","au"
"Feel It Still","Portugal. The Man","3 marzo 2017","2:43","Pop psichedelico,,Funk","6_platino","au"
"Just Give Me a Reason","Pink","5 febbraio 2013","4:03","Pop","6_platino","au"
"Get Lucky","Daft Punk","19 aprile 2013","6:07,(versione album),,4:08,(versione radiofonica)","Disco,,Funk","6_platino","au"
"Blinding Lights","The Weeknd","29 novembre 2019","3:21","Elettropop,,Synth pop,,Synthwave","6_platino","au"
"Pumped Up Kicks","Foster the People","4 aprile 2011","3:40","Indie rock,,Indie pop","6_platino","au"
"Circles","Post Malone","30 agosto 2019","3:34","Pop psichedelico","6_platino","au"
"New Rules","Dua Lipa","15 luglio 2017","3:29","Elettropop,,Musica tropicale,,Pop","6_platino","au"
"I Knew You Were Trouble","Taylor Swift","14 novembre 2012","3:40","Elettropop,,Dubstep","6_platino","au"
"Give Me Everything","Pitbull","22 marzo 2011","4:16","Hip house,,Electro house,,Dance pop","6_platino","au"
"Ride It","Regard","26 luglio 2019","2:37","Musica house","6_platino","au"
"Paradise","Coldplay","12 settembre 2011","4:39","Britpop","6_platino","au"
"Price Tag","Jessie J","25 gennaio 2011","3:46","Reggae fusion","6_platino","au"
"Happier","Marshmello,Bastille","17 agosto 2018","3:34","Electronic dance music","6_platino","au"
"One Dance","Drake","5 aprile 2016","2:54","Dancehall reggae","6_platino","au"
"Shotgun","George Ezra","18 maggio 2018","3:26","Folk rock","6_platino","au"
"Diamonds","Rihanna","27 settembre 2012","3:45","Musica elettronica,,Pop,,Soul","6_platino","au"
"Starships","Nicki Minaj","14 febbraio 2012","3:30","Eurodance,,Europop,,Electro house","6_platino","au"
"Skinny Love","Bon Iver","28 aprile 2008","3:59","Folk","6_platino","au"
"Teenage Dream","Katy Perry","23 luglio 2010  (date di pubblicazione)","3:48","Pop,,Bubblegum pop","6_platino","au"
"S&M","Rihanna","21 gennaio 2011","4:04","Eurodance,,Electro,,Hi-NRG","6_platino","au"
"Super Bass","Nicki Minaj","5 aprile 2011","3:20","Pop rap,,Synth pop","6_platino","au"
"Young Dumb & Broke","Khalid","2 febbraio 2017","3:22","Contemporary R&B","6_platino","au"
"Señorita","Shawn Mendes,Camila Cabello","21 giugno 2019","3:10","Pop","6_platino","au"
"Scream & Shout","will.i.am","20 novembre 2012","4:46","Electro house,,Dance pop","6_platino","au"
"Yeah 3X","Chris Brown","25 ottobre 2010","4:01","Dance pop,,Europop,,Electro house","6_platino","au"
"Wide Awake","Katy Perry","7 maggio 2012","3:41","Elettropop,,Musica elettronica","6_platino","au"
"Work from Home","Fifth Harmony","26 febbraio 2016","3:34","","6_platino","au"
"Wrecking Ball","Miley Cyrus","25 agosto 2013","3:43","Elettropop","6_platino","au"
"Poker Face","Lady Gaga","26 settembre 2008","3:59","","6_platino","au"
"Thunder","Imagine Dragons","27 aprile 2017","3:07","Elettropop","6_platino","au"
