"title","artists","date","duration","genre","award","nation"
"6 A.M.","The Night Skinny","8 dicembre 2017","4:39","Hip hop","oro","it"
"6itch","Tha Supreme","5 ottobre 2017","1:23","Hip hop","oro","it"
"1990","Achille Lauro","25 ottobre 2019","3:57","Progressive house","oro","it"
"1977","Ana Tijoux","10 luglio 2010 - 14 gennaio 2014 ( Italia )","3:21","Hip hop","oro","it"
"Acqua calda e limone","Rkomi","19 luglio 2018","3:21","Hip hop","oro","it"
"5olo","Tha Supreme","9 febbraio 2018","2:07","Hip hop","oro","it"
"Acqua e sale","Mina,Adriano Celentano","14 maggio 1998","","Pop","oro","it"
"Adiós","Fred De Palma","19 maggio 2017","3:26","Pop rap","oro","it"
"A cena dai tuoi","Emis Killa","2 dicembre 2013","3:06","Pop rap","oro","it"
"1, 2, 3","Sofía Reyes","16 febbraio 2018","3:21","Pop latino,,Reggaeton","oro","it"
"7 miliardi","Massimo Pericolo","22 gennaio 2019","2:47","Hardcore hip hop,,Hip hop","oro","it"
"3 Words","Cheryl","18 dicembre 2009","4:33","Dance pop","oro","it"
"A parte te","Ermal Meta","24 giugno 2016","4:38","Pop","oro","it"
"Adam's Song","Blink-182","5 settembre 2000","4:09,(versione album),,3:35,(versione radiofonica)","Pop punk","oro","it"
"9.3","Mr. Rain","11 giugno 2020","3:45","Pop rap,,Alternative hip hop","oro","it"
"Adoro","Il Pagante","5 marzo 2019","5:25","Dance,,Musica elettronica","oro","it"
"4/3/1943/Il fiume e la città","Lucio Dalla","1971","3:40,(4/3/1943),,3:48,(Il fiume e la città)","Musica d'autore","oro","it"
"7/11","Beyoncé","25 novembre 2014","3:33","Trap","oro","it"
"0ffline","Tha Supreme","31 luglio 2020","3:21","Trap","oro","it"
"2002","Anne-Marie","20 aprile 2018","3:06","Pop","oro","it"
"1979","The Smashing Pumpkins","23 gennaio 1996","4:28","Rock alternativo","oro","it"
"13 buone ragioni","Zucchero Fornaciari","17 giugno 2016","3:26","Blues rock,,Folk rock","oro","it"
"A Different Way","DJ Snake","21 settembre 2017","3:18","Moombahton","oro","it"
"6 del mattino","Jake La Furia","28 giugno 2019","2:58","Pop","oro","it"
"50mila","Nina Zilli","28 luglio 2009","2:56","Pop soul","oro","it"
"Adrenalina","Finley","30 maggio 2007","2:54","","oro","it"
"Adesso tu","Eros Ramazzotti","1986","3:59","Pop rock,,Pop","oro","it"
"Alice/I musicanti","Francesco De Gregori","1973","","Musica d'autore","oro","it"
"Alive","Empire of the Sun","15 aprile 2013","3:24","Dance","oro","it"
"Alfonso Signorini (eroe nazionale)","Fedez","31 maggio 2013","3:13","Hip house","oro","it"
"All I Am","Jess Glynne","17 agosto 2018","3:39","Pop","oro","it"
