"title","artists","date","duration","genre","award","nation"
"C'est la vie","Gilli","4 agosto 2015","4:20","Trap","3_platino","dk"
"Don't You Worry Child","Swedish House Mafia","14 settembre 2012","3:32,(radio edit),,6:43,(extended mix)","Progressive house,,Electronic dance music","3_platino","dk"
"Cheap Thrills","Sia","17 dicembre 2015","3:30","Tropical house","3_platino","dk"
"Can't Hold Us","Macklemore & Ryan Lewis","17 aprile 2013","4:18","Hipster hop,,Alternative hip hop,,Pop rap","3_platino","dk"
"Kun for mig","Medina","22 settembre 2008","4:12","Elettropop,,Rhythm and blues","3_platino","dk"
"Galway Girl","Ed Sheeran","7 aprile 2017","2:50","","3_platino","dk"
"Faded","Alan Walker","3 dicembre 2015","3:33","Elettropop","3_platino","dk"
"Love Someone","Lukas Graham","7 settembre 2018","3:25","Pop","3_platino","dk"
"Hung Up","Madonna","17 ottobre 2005","5:36,(Album Version),,3:23,(Radio Edit)","Dance pop,,Disco","3_platino","dk"
"Get Lucky","Daft Punk","19 aprile 2013","6:07,(versione album),,4:08,(versione radiofonica)","Disco,,Funk","3_platino","dk"
"Rica","Gilli","6 giugno 2017","3:32","Trap","3_platino","dk"
"Drive By","Train","10 gennaio 2012","3:16","Pop rock,,Roots rock,,Folk rock","3_platino","dk"
"Closer","The Chainsmokers","29 luglio 2016","4:04","Future bass","3_platino","dk"
"Mama Said","Lukas Graham","23 giugno 2014","3:26 (album version), 3:00 (radio edit)","Pop","3_platino","dk"
"Dance Monkey","Tones and I","10 maggio 2019","3:29","Elettropop","3_platino","dk"
"I Kissed a Girl","Katy Perry","29 aprile 2008","3:01","","3_platino","dk"
"Blinding Lights","The Weeknd","29 novembre 2019","3:21","Elettropop,,Synth pop,,Synthwave","3_platino","dk"
"Ocean Eyes","Billie Eilish","18 novembre 2016","3:20","Pop,,Dream pop","3_platino","dk"
"Hello","Adele","23 ottobre 2015","4:55","Ballata,,Pop soul","3_platino","dk"
"Last Christmas","Wham!","15 dicembre 1984","4:27","New wave,,Synth pop,,Musica natalizia","3_platino","dk"
"One Day/Reckoning Song","Asaf Avidan,,& the Mojos","2008 ( Israele )","2:46","Soul,,Musica etnica,,Folk rock","3_platino","dk"
"One Dance","Drake","5 aprile 2016","2:54","Dancehall reggae","3_platino","dk"
"All I Want for Christmas Is You","Mariah Carey","1º novembre 1994","4:01","","3_platino","dk"
"The Monster","Eminem","29 ottobre 2013","4:10","Hip hop","3_platino","dk"
"Stitches","Shawn Mendes","5 maggio 2015","3:27","Country pop","3_platino","dk"
"Say You Won't Let Go","James Arthur","9 settembre 2016","3:31","Pop,,Folk","3_platino","dk"
"Lush Life","Zara Larsson","5 giugno 2015","3:21","Elettropop","3_platino","dk"
"Scream & Shout","will.i.am","20 novembre 2012","4:46","Electro house,,Dance pop","3_platino","dk"
"Gangnam Style","Psy","15 luglio 2012  (vedi date di pubblicazione)","3:41","K-pop,,Dance pop","3_platino","dk"
"Tidligt op","Gilli","15 gennaio 2016","3:51","Trap","3_platino","dk"
"Vai amor","Gilli","17 maggio 2019","2:46","Trap","3_platino","dk"
"Treat You Better","Shawn Mendes","3 giugno 2016  (vedi date di pubblicazione)","3:07","Pop","3_platino","dk"
"Uncover","Zara Larsson","21 gennaio 2013","3:34","Pop","3_platino","dk"
"Youngblood","5 Seconds of Summer","13 aprile 2018","3:23","","3_platino","dk"
"Rockstar","Post Malone","15 settembre 2017","3:38","Trap","3_platino","dk"
"Take Me to Church","Hozier","13 settembre 2013 – (vedi date di pubblicazione)","4:05","Soul,,Blues,,Indie rock","3_platino","dk"
"Sweet but Psycho","Ava Max","17 agosto 2018","3:07","Dance pop,,Elettropop","3_platino","dk"
"Someone You Loved","Lewis Capaldi","8 novembre 2018","3:02","Ballata","3_platino","dk"
"Shallow","Lady Gaga,Bradley Cooper","27 settembre 2018","3:37","Country,,Folk pop","3_platino","dk"
