"title","artists","date","duration","genre","award","nation"
"Closer","The Chainsmokers","29 luglio 2016","4:04","Future bass","3_platino","uk"
"The A Team","Ed Sheeran","1º maggio 2011  (vedi date di pubblicazione)","4:18","Pop","3_platino","uk"
"Can't Hold Us","Macklemore & Ryan Lewis","17 aprile 2013","4:18","Hipster hop,,Alternative hip hop,,Pop rap","3_platino","uk"
"Gangsta's Paradise","Coolio","8 agosto 1995","4:00","Gangsta rap,,Hardcore hip hop,,Conscious hip hop","3_platino","uk"
"Don't Look Back in Anger","Oasis","19 febbraio 1996","4:47","Britpop,,Rock","3_platino","uk"
"Do I Wanna Know?","Arctic Monkeys","2013","4:33","Indie rock","3_platino","uk"
"Get Lucky","Daft Punk","19 aprile 2013","6:07,(versione album),,4:08,(versione radiofonica)","Disco,,Funk","3_platino","uk"
"Don't Stop Believin'","Journey","1981","4:11","Pop rock","3_platino","uk"
"...Baby One More Time","Britney Spears","23 ottobre 1998","3:30","Dance pop,,Teen pop","3_platino","uk"
"Human","Rag'n'Bone Man","27 luglio 2016","3:19","Rhythm and blues","3_platino","uk"
"Barbie Girl","Aqua","14 maggio 1997","3:16","Bubblegum dance","3_platino","uk"
"Crazy","Gnarls Barkley","11 gennaio 2006","2:58","Neo soul,,Pop rock","3_platino","uk"
"I Believe I Can Fly","R. Kelly","26 novembre 1996","4:40","Contemporary R&B,,Gospel,,Soul,,Ballata","3_platino","uk"
"Chandelier","Sia","17 marzo 2014","3:36","Elettropop","3_platino","uk"
"Havana","Camila Cabello","8 settembre 2017","3:36","Musica latina,,Pop","3_platino","uk"
"Hold Back the River","James Bay","17 novembre 2014","4:03","Indie rock,,Folk rock","3_platino","uk"
"Bohemian Rhapsody","Queen","31 ottobre 1975","9:00","Rock progressivo,,Hard rock,,Art rock","3_platino","uk"
"Fairytale of New York","The Pogues","1987","4:33","Celtic punk,,Musica natalizia","3_platino","uk"
"God's Plan","Drake","19 gennaio 2018","3:18","Pop rap","3_platino","uk"
"Blinding Lights","The Weeknd","29 novembre 2019","3:21","Elettropop,,Synth pop,,Synthwave","3_platino","uk"
"Galway Girl","Ed Sheeran","7 aprile 2017","2:50","","3_platino","uk"
"I'm Yours","Jason Mraz","12 febbraio 2008    30 maggio 2008   2 giugno 2008 ","3:35","Pop,,Folk rock,,Musica acustica,,Reggae,,Punk rock","3_platino","uk"
"I Gotta Feeling","Black Eyed Peas,,accreditati come The Black Eyed Peas","18 giugno 2009","4:49","Dance pop","3_platino","uk"
"One Last Time","Ariana Grande","10 febbraio 2015","3:18","Dance pop","3_platino","uk"
"I Don't Care","Ed Sheeran,Justin Bieber","10 maggio 2019","3:39","Elettropop","3_platino","uk"
"Iris","Goo Goo Dolls","7 aprile 1998","4:49","Rock alternativo,,Soft rock,,Pop rock","3_platino","uk"
"Let It Go","James Bay","12 maggio 2014","4:21","Indie pop,,Folk rock,,Blues rock","3_platino","uk"
"Photograph","Ed Sheeran","11 maggio 2015","4:18","Soft rock","3_platino","uk"
"Love Me like You Do","Ellie Goulding","7 gennaio 2015","4:12","Elettropop","3_platino","uk"
"Old Town Road","Lil Nas X","3 dicembre 2018","1:53","Country rap,,Trap","3_platino","uk"
"Make You Feel My Love","Bob Dylan","30 settembre 1997","3,min,: 32,s","Folk rock","3_platino","uk"
"Paradise","George Ezra","19 gennaio 2018","3:42","Folk rock,,Pop rock","3_platino","uk"
"Last Christmas","Wham!","15 dicembre 1984","4:27","New wave,,Synth pop,,Musica natalizia","3_platino","uk"
