"title","artists","date","duration","genre","award","nation"
"Before You Go","Lewis Capaldi","19 novembre 2019","3:36","Pop soul","4_platino","can"
"Best Day of My Life","American Authors","marzo 2013","3:14","Indie rock,,Indie folk,,Folk rock,,Rock alternativo","4_platino","can"
"10,000 Hours","Dan + Shay,Justin Bieber","4 ottobre 2019","2:47","Country pop","4_platino","can"
"Do Re Mi","Blackbear","27 luglio 2017","3:53","Emo rap","4_platino","can"
"Don't","Ed Sheeran","12 agosto 2014","3:40","Contemporary R&B,,Soul bianco","4_platino","can"
"Can't Hold Us","Macklemore & Ryan Lewis","17 aprile 2013","4:18","Hipster hop,,Alternative hip hop,,Pop rap","4_platino","can"
"Be Alright","Dean Lewis","29 giugno 2018","3:16","Pop","4_platino","can"
"Drip Too Hard","Lil Baby,Gunna","12 settembre 2018","2:25","Trap","4_platino","can"
"Candy Paint","Post Malone","16 ottobre 2017","3:49","Trap","4_platino","can"
"Blueberry Faygo","Lil Mosey","7 febbraio 2020","2:43","Trap","4_platino","can"
"24K Magic","Bruno Mars","7 ottobre 2016","3:47","Funk,,Disco","4_platino","can"
"Call on Me","Starley","29 luglio 2016","2:41","Dance pop","4_platino","can"
"Blank Space","Taylor Swift","10 novembre 2014","3:51","Elettropop","4_platino","can"
"Fuck You!","Cee Lo Green","19 agosto 2010","3:44","Neo soul,,Contemporary R&B","4_platino","can"
"Bodak Yellow","Cardi B","16 giugno 2017","3:43","Hip hop,,Trap","4_platino","can"
"Friends","Marshmello,Anne-Marie","9 febbraio 2018","3:22","Electronic dance music,,Pop","4_platino","can"
"California Gurls","Katy Perry","7 maggio 2010","3:55","Elettropop,,Funk,,Bubblegum pop,,Pop rap","4_platino","can"
"Everything I Wanted","Billie Eilish","13 novembre 2019","4:05","Elettropop","4_platino","can"
"7 Rings","Ariana Grande","18 gennaio 2019","2:58","Pop rap,,Trap,,Contemporary R&B","4_platino","can"
"Feel This Moment","Pitbull","22 febbraio 2013","3:49","Disco,,Dance pop","4_platino","can"
"Let You Down","NF","14 settembre 2017  (vedi date di pubblicazione)","3:32","Hip hop","4_platino","can"
