"title","artists","date","duration","genre","award","nation"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","6_platino","it"
"Duele el corazón","Enrique Iglesias","18 aprile 2016","3:21","Reggaeton","6_platino","it"
"Maria Salvador","J-Ax","24 aprile 2015","3:43,(versione album),,3:04,(versione singolo/radiofonica)","Pop rap","6_platino","it"
"Let Her Go","Passenger","24 luglio 2012","4:12","Folk rock","6_platino","it"
"Occidentali's Karma","Francesco Gabbani","9 febbraio 2017","3:37","Elettropop","6_platino","it"
"Closer","The Chainsmokers","29 luglio 2016","4:04","Future bass","6_platino","it"
"Novembre","Giusy Ferreri","17 ottobre 2008","3:08","Pop","6_platino","it"
"El mismo sol","Álvaro Soler","24 aprile 2015","3:00","Pop latino","6_platino","it"
"Magnifico","Fedez","31 ottobre 2014","3:21","Pop rap","6_platino","it"
"Obsesión","Aventura","2 luglio 2002 (America latina) 2003 (Europa)","3:49","Bachata","6_platino","it"
"Guerriero","Marco Mengoni","21 novembre 2014","4:05","Elettropop","6_platino","it"
"Happy","Pharrell Williams","21 novembre 2013","3:53","Neo soul,,Funk,,Soul","6_platino","it"
"Love Yourself","Justin Bieber","9 dicembre 2015","3:53","Musica acustica","6_platino","it"
"Ti scatterò una foto","Tiziano Ferro","20 gennaio 2007","4:34","Ballata","6_platino","it"
"Bleeding Love","Leona Lewis","19 ottobre 2007","4:24,(album version),,4:01,(radio edit)","Pop soul,,Contemporary R&B","6_platino","it"
"Photograph","Ed Sheeran","11 maggio 2015","4:18","Soft rock","6_platino","it"
"Don't Let Me Down","The Chainsmokers","5 febbraio 2016","3:28","Dance pop","6_platino","it"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","6_platino","it"
"One Dance","Drake","5 aprile 2016","2:54","Dancehall reggae","6_platino","it"
"Il mio nome è mai più","Luciano Ligabue,Jovanotti,Piero Pelù,,(LigaJovaPelù)","17 giugno 1999","4:30","Pop rock","6_platino","it"
"Hello","Adele","23 ottobre 2015","4:55","Ballata,,Pop soul","6_platino","it"
"Waka Waka (This Time for Africa)","Shakira","11 maggio 2010","3:22","World music,,Dance pop","6_platino","it"
