"title","artists","date","duration","genre","award","nation"
"8 Days of Christmas","Destiny's Child","16 dicembre 2001","3:29","Musica natalizia,,Rhythm and blues","oro","au"
"22","Lily Allen","24 agosto 2009","3:06","Pop","oro","au"
"2 Hearts","Kylie Minogue","12 novembre 2007","2:51","Pop rock,,Glam rock","oro","au"
"5 O'Clock","T-Pain","27 settembre 2011","4:41 (explicit) - 4:40 (clean) - 3:09 (radio edit)","Contemporary R&B,,Ballata","oro","au"
"21 Guns","Green Day","25 maggio 2009","5:21","Rock alternativo,,Pop punk,,Power ballad","oro","au"
"A Girl Like You","Edwyn Collins","5 dicembre 1994 ( Australia ) - 5 giugno 1995 (mondo)","3:59","Pop rock,,Rock alternativo,,Modern rock","oro","au"
"A Lot","21 Savage","8 gennaio 2019","4:48,(Versione album),,,6:32,(Versione YouTube)","Hip hop,,Trap","oro","au"
"Acapella","Karmin","9 luglio 2013","3:18","Synth pop,,Alternative hip hop","oro","au"
"Addicted","Simple Plan","3 giugno 2003","3:52","Rock alternativo,,Pop punk","oro","au"
"Adventure of a Lifetime","Coldplay","6 novembre 2015","4:23,(versione album),,3:43,(versione radiofonica)","Dance pop","oro","au"
"After the Afterparty","Charli XCX","28 ottobre 2016","3:39","Elettropop","oro","au"
"After Hours","The Weeknd","19 febbraio 2020","6:01","","oro","au"
"Again","Lenny Kravitz","14 settembre 2000","3:48","Rock alternativo","oro","au"
"Ain't It Different","Headie One","19 agosto 2020","3:16","Hip hop","oro","au"
"Ain't It Funny (Murder Remix)","Jennifer Lopez","2002","3:49","Pop rap","oro","au"
"Alive","Empire of the Sun","15 aprile 2013","3:24","Dance","oro","au"
"All About You","Hilary Duff","12 agosto 2014","2:42","Pop","oro","au"
"Air Balloon","Lily Allen","31 gennaio 2014","3:48","Rock alternativo,,Synth pop","oro","au"
"Alive","Pearl Jam","1991","5:40","Grunge,,Rock alternativo","oro","au"
"Ain't No Other Man","Christina Aguilera","3 giugno 2006","3:48","Funk,,Pop,,Contemporary R&B","oro","au"
"All Hands on Deck","Tinashe","24 febbraio 2015","3:40","Crunk & B","oro","au"
"All I Am","Jess Glynne","17 agosto 2018","3:39","Pop","oro","au"
"Amazing","George Michael","marzo 2004","4:25","Pop,,Acid jazz,,Dance pop","oro","au"
"Already Gone","Kelly Clarkson","11 agosto 2009","4:41,(versione album),,4:25,(versione radiofonica)","Soft rock","oro","au"
"All the Lovers","Kylie Minogue","11 giugno 2010","3:22","Elettropop,,Disco","oro","au"
"American Idiot","Green Day","31 agosto 2004","2:54","","oro","au"
"Angel of Mine","Monica","19 gennaio 1999","3:56","Pop,,Contemporary R&B","oro","au"
"American Life","Madonna","27 marzo 2003","4:57","Folktronica,,Hip hop,,Elettropop","oro","au"
"American Pie","Don McLean","1971","8:27","Folk rock","oro","au"
"Angels","Robbie Williams","1º dicembre 1997","4:24","Piano rock,,Pop","oro","au"
"Antidote","Travis Scott","28 luglio 2015","4:22","Trap,,Cloud rap","oro","au"
"Another Day in Paradise","Phil Collins","23 ottobre 1989","5:22,(versione album),,4:47,(versione singolo)","Adult contemporary music,,Soft rock","oro","au"
"Animal","Pearl Jam","1994","2:49","Grunge","oro","au"
"Antisocial","Ed Sheeran,Travis Scott","12 luglio 2019","2:41","Hip hop","oro","au"
"Anytime You Need a Friend","Mariah Carey","31 maggio 1994","4:26","Contemporary R&B,,Gospel,,Soul","oro","au"
"Are You Bored Yet?","Wallows","1º febbraio 2019","2:58","Rock alternativo","oro","au"
"Ashes to Ashes","Faith No More","19 maggio 1997","3:36","Alternative metal,,Rock alternativo","oro","au"
"Are you Gonna Be My Girl","Jet","25 agosto 2003","3:33","Garage punk,,Hard rock","oro","au"
"Ass Like That","Eminem","7 giugno 2005","","Dirty rap,,Comedy hip hop,,Pop rap","oro","au"
"Around the World","Daft Punk","17 marzo 1997","7:07","French house","oro","au"
"Barbie Dreams","Nicki Minaj","14 agosto 2018","4:39","Hip hop","oro","au"
"Batdance","Prince","30 maggio 1989","4:06 (7""),,6:13 (album/12"")","Electronic dance music,,Rock sperimentale","oro","au"
"Bad Influence","Pink","5 maggio 2009","3:35","Pop rock","oro","au"
"Baby Baby","Corona","27 febbraio 1995","3:45","Eurodance","oro","au"
"AYO Technology","50 Cent","17 agosto 2007","4:08","Dirty rap,,Chiptune","oro","au"
"Be Honest","Jorja Smith","16 agosto 2019","3:27","Reggae","oro","au"
"Beautiful","Snoop Dogg","28 gennaio 2003    1º aprile 2003 ","4:58","Pop rap","oro","au"
"Because of You","Ne-Yo","4 febbraio 2007","3:47","Contemporary R&B","oro","au"
"Beautiful Stranger","Madonna","1º giugno 1999","4:21","Pop rock","oro","au"
"Because of You","Kelly Clarkson","16 agosto 2005","3:39","Soft rock","oro","au"
"Bedroom Floor","Liam Payne","20 ottobre 2017","3:08","Elettropop","oro","au"
"Beep","Pussycat Dolls","26 febbraio 2006","3:49","Contemporary R&B,,Hip hop soul","oro","au"
"Bed of Roses","Bon Jovi","26 gennaio 1993","6:34","Soft rock,,Pop rock,,Hard rock,,Power ballad","oro","au"
"Bedtime Story","Madonna","13 febbraio 1995","4:53","Musica house,,Trance,,Pop","oro","au"
"Bed","Nicki Minaj","14 giugno 2018  (vedi date di pubblicazione)","3:09","Pop","oro","au"
"Best Love Song","T-Pain","22 marzo 2011","3:17","Elettropop","oro","au"
"Big Girl (You Are Beautiful)","Mika","22 febbraio 2008 ","4:10","Dance pop,,Glam rock,,Pop rock","oro","au"
"Better in time","Leona Lewis","10 marzo 2008","3:54","Pop soul,,Contemporary R&B","oro","au"
"The Best in the World Pack","Drake","15 giugno 2019","7:05","Hip hop,,Trap","oro","au"
"Big Mistake","Natalie Imbruglia","8 marzo 1998","4:34","Pop","oro","au"
"Bitches Broken Hearts","Billie Eilish","30 marzo 2018","2:56","Indie pop,,Ambient pop","oro","au"
"Bitch Better Have My Money","Rihanna","26 marzo 2015","3:39","Trap","oro","au"
"Bitter Sweet Symphony","The Verve","16 giugno 1997","5:58","","oro","au"
"Black Cat","Janet Jackson","28 agosto 1990","04:50","Rock","oro","au"
"Black Hole Sun","Soundgarden","4 maggio 1994","5:18","Rock alternativo,,Grunge","oro","au"
"Blood on the Dance Floor","Michael Jackson","21 marzo 1997","4:12","New jack swing","oro","au"
"Black Widow","Iggy Azalea","13 agosto 2014","3:29","Trap","oro","au"
"Bon appétit","Katy Perry","28 aprile 2017","3:47","Dance pop","oro","au"
"Bodies","Robbie Williams","12 ottobre 2009","4:03","Pop","oro","au"
"BonBon","Era Istrefi","30 dicembre 2015","2:47","","oro","au"
"Bonfire","Childish Gambino","17 settembre 2011","3:12","Hip hop","oro","au"
"The Bones","Maren Morris","20 maggio 2019","3:17","Country pop,,Pop","oro","au"
"Bored","Billie Eilish","30 marzo 2017","3:00","Pop","oro","au"
"Boneless","Steve Aoki,Chris Lake,Tujamo","23 agosto 2013","4:30","Electro house,,Progressive house","oro","au"
"Born to Die","Lana Del Rey","30 dicembre 2011","4:46","Pop barocco,,Trip hop","oro","au"
"The Boy Does Nothing","Alesha Dixon","10 novembre 2008","3:27","Mambo,,Contemporary R&B,,Swing","oro","au"
"Boys","Lizzo","22 giugno 2018","2:52","Funk,,Pop,,Elettropop","oro","au"
"Boys","Britney Spears","29 luglio 2002","3:28","Contemporary R&B,,Funk,,Hip hop","oro","au"
"Break My Stride","Matthew Wilder","agosto 1983","3:05","New wave,,Synth pop,,Reggae","oro","au"
"Boyfriend","Ariana Grande,,Social House","2 agosto 2019","3:06","Contemporary R&B","oro","au"
"Breakaway","Kelly Clarkson","20 luglio 2004","3:57","Pop rock,,Soft rock","oro","au"
"C'Mon","Kesha","17 gennaio 2013","3:34","Elettropop","oro","au"
"By the Way","Red Hot Chili Peppers","10 giugno 2002","3:37","Rock alternativo,,Funk rock","oro","au"
"Can We Pretend","Pink","11 aprile 2019","3:44","Dance,,Dance pop","oro","au"
"Call Me When You're Sober","Evanescence","25 settembre 2006","3:34","Alternative metal","oro","au"
"Can't Hold Us Down","Christina Aguilera","8 luglio 2003","4:15","Contemporary R&B","oro","au"
"Can't Be Tamed","Miley Cyrus","18 maggio 2010","2:48","Elettropop,,Synth pop","oro","au"
