"title","artists","date","duration","genre","award","nation"
"Back to You","Louis Tomlinson","21 luglio 2017","3:19","Pop","oro","can"
"Alarm","Anne-Marie","20 maggio 2016","3:25","Elettropop","oro","can"
"Are You With Me","Lost Frequencies","27 ottobre 2014","2:18","Deep house,,Dance","oro","can"
"Already Gone","Kelly Clarkson","11 agosto 2009","4:41,(versione album),,4:25,(versione radiofonica)","Soft rock","oro","can"
"7 Minutes","Dean Lewis","18 gennaio 2019","3:31","","oro","can"
"Because of You","Kelly Clarkson","16 agosto 2005","3:39","Soft rock","oro","can"
"Begin Again","Taylor Swift","25 settembre 2012","3:57","Country","oro","can"
"Babe","Styx","settembre 1979","4:26","Pop rock,,Soft rock,,Power ballad","oro","can"
"Bedroom Floor","Liam Payne","20 ottobre 2017","3:08","Elettropop","oro","can"
"Alive and Kicking","Simple Minds","20 settembre 1985 ( Stati Uniti - 30 settembre 1985 ( Regno Unito )","4:47 (single version) - 4:33 (radio version) - 5:26 (album version)","Pop rock,,New wave","oro","can"
"All Day and Night","Jax Jones,Martin Solveig,Madison Beer","28 marzo 2019","2:49","Electronic dance music","oro","can"
"ATM","J. Cole","31 luglio 2018","3:36","Hip hop","oro","can"
"Africa","Toto","1982","4:58","","oro","can"
"2 On","Tinashe","21 gennaio 2014","3:51","Electro-R&B","oro","can"
"Alone","Heart","maggio 1987","3:38","Rock,,Hard rock","oro","can"
"Batshit","Sofi Tukker","3 aprile 2018","3:23","Dance","oro","can"
"11 Minutes","Yungblud,Halsey","14 febbraio 2019","3:59","Rock alternativo","oro","can"
"Be the One","Dua Lipa","30 ottobre 2015","3:22","Synth pop","oro","can"
"Anywhere","Rita Ora","20 ottobre 2017","3:35","Dance pop,,Elettropop","oro","can"
"Back to December","Taylor Swift","12 ottobre 2010  (Download digitale)  15 novembre 2010  (Stazioni radiofoniche)","4:54","Country pop","oro","can"
"Ain't It Fun","Paramore","4 febbraio 2014","4:56","Pop rock,,New wave,,Funk rock","oro","can"
"34+35","Ariana Grande","3 novembre 2020","2:53","","oro","can"
"Better Be Good to Me","Tina Turner","1985","5:10","New wave,,Dance rock","oro","can"
"Best Friend","Sofi Tukker","12 settembre 2017","3:03","Alternative dance,,Indie pop","oro","can"
"Better Man","Little Big Town","20 ottobre 2016","4:21","Country","oro","can"
"Best Thing I Never Had","Beyoncé","1º giugno 2011","4:13","Contemporary R&B","oro","can"
"365","Zedd,Katy Perry","14 febbraio 2019","3:01","","oro","can"
"Best Part of Me","Ed Sheeran","5 luglio 2019","4:03","Ballata","oro","can"
"99 Luftballons","Nena","  1983","","New wave,,Dance pop,,NDW","oro","can"
"Black Smoke Rising","Greta Van Fleet","21 aprile 2017","","Hard rock,,Blues rock","oro","can"
"Bitches Broken Hearts","Billie Eilish","30 marzo 2018","2:56","Indie pop,,Ambient pop","oro","can"
"Body Language","Kid Ink","9 settembre 2014","3:28","Hip hop,,Contemporary R&B","oro","can"
"Black Magic","Little Mix","21 maggio 2015","3:31","Dance pop","oro","can"
"Black and White","Niall Horan","1º maggio 2020","3:13","Pop rock","oro","can"
"Blame","Calvin Harris","5 settembre 2014","3:34","Electronic dance music","oro","can"
"Best of You","Foo Fighters","28 maggio 2005","4:15","","oro","can"
"Blue Jeans","Lana Del Rey","8 aprile 2012","3:30","Slowcore,,Trip hop","oro","can"
"Bloody Valentine","Machine Gun Kelly","1º maggio 2020","3:25","Pop punk","oro","can"
"Betty","Taylor Swift","17 agosto 2020","4:54","Country","oro","can"
"Breakaway","Kelly Clarkson","20 luglio 2004","3:57","Pop rock,,Soft rock","oro","can"
"Blue Jean","David Bowie","settembre 1984","3:08","Pop rock,,New wave","oro","can"
"Big Hoops (Bigger The Better)","Nelly Furtado","17 aprile 2012","3:52","Contemporary R&B,,Raggamuffin","oro","can"
"Blue","Eiffel 65","7 ottobre 1998","4:48","Italodance,,Eurodance","oro","can"
"BonBon","Era Istrefi","30 dicembre 2015","2:47","","oro","can"
"Bon appétit","Katy Perry","28 aprile 2017","3:47","Dance pop","oro","can"
"Cars","Gary Numan","21 agosto 1979  1980 (Italia)","3:58","Synth pop,,New wave","oro","can"
"Can't Breathe","Fefe Dobson","30 marzo 2011","3:47","Rock elettronico,,Pop rock,,Rock alternativo","oro","can"
"Break the Rules","Charli XCX","19 agosto 2014","3:24","Pop punk,,Teen pop","oro","can"
"Born to Die","Lana Del Rey","30 dicembre 2011","4:46","Pop barocco,,Trip hop","oro","can"
"Cowboy Casanova","Carrie Underwood","14 settembre 2009","3:53","Country","oro","can"
"Carousel","Melanie Martinez","19 maggio 2014","3:50","Indie pop","oro","can"
"Boo'd Up","Ella Mai","20 febbraio 2018","4:16","Contemporary R&B","oro","can"
"Blow","Ed Sheeran,Chris Stapleton,Bruno Mars","5 luglio 2019","3:29","Rock","oro","can"
"Bones","Galantis","31 gennaio 2019","3:25","Dance","oro","can"
"Cry Baby","Melanie Martinez","14 agosto 2015","3 min : 59 s","Elettropop,,Indie pop","oro","can"
"Broken Wings","Mr. Mister","25 settembre 1985","5:42,(versione album),,4:29,(versione singolo)","Pop rock,,New wave","oro","can"
"Chemicals","Dean Lewis","23 marzo 2018","3:41","Pop","oro","can"
"The Cave","Mumford & Sons","2010","3:39","Indie rock","oro","can"
"Candyman","Christina Aguilera","20 febbraio 2007   7 aprile 2007   ","3:14","Pop,,Blues,,Jazz","oro","can"
"Call Me","Nav,Metro Boomin","14 luglio 2017","3:35","Hip hop","oro","can"
"Cough Syrup","Young the Giant","12 luglio 2011","4:10","Indie rock,,Rock alternativo","oro","can"
"Come On Get Higher","Matt Nathanson","11 febbraio 2008","3:34","Pop rock,,Rock alternativo","oro","can"
"Consequences","Camila Cabello","9 ottobre 2018","2:58,(versione album),,3:01,(versione singolo)","Ballata","oro","can"
"Climax","Usher","22 febbraio 2012","3:53","Elettropop","oro","can"
"Crystalised","The xx","27 aprile 2009","3:21","Indie pop","oro","can"
"Desire","U2","26 settembre 1988","2:59","Country rock,,Rock alternativo","oro","can"
"Can't Stop This Thing We Started","Bryan Adams","2 ottobre 1991","4:29","Hard rock","oro","can"
"Curiosity","Carly Rae Jepsen","1º maggio 2012","3:26","Dance,,Teen pop","oro","can"
"Champagne Showers","LMFAO","26 maggio 2011","4:24","Electro house","oro","can"
"Boy with Luv","BTS","12 aprile 2019","3:49","","oro","can"
"Day69","6ix9ine","23 febbraio 2018","27:02","Trap,,Gangsta rap,,Crunkcore","oro","can"
"Chun-Li","Nicki Minaj","12 aprile 2018","3:11","Hip hop","oro","can"
"Djadja","Aya Nakamura","6 aprile 2018","2:51","Musica africana","oro","can"
"Daisies","Katy Perry","15 maggio 2020","2:54","Pop","oro","can"
"I Do Not Hook Up","Kelly Clarkson","30 marzo 2009","3:20","Pop rock,,Power pop","oro","can"
"D'amour ou d'amitié","Céline Dion","dicembre 1982","3:55","Pop,,Soul","oro","can"
"Dangerous Woman","Ariana Grande","11 marzo 2016","3:53","","oro","can"
"Chlorine","Twenty One Pilots","29 gennaio 2019","5:24","Trip hop","oro","can"
"The Devil in I","Slipknot","25 agosto 2014","5:42,(versione album),,4:11,(versione radiofonica)","Alternative metal,,Nu metal","oro","can"
"Dark Necessities","Red Hot Chili Peppers","5 maggio 2016","5:02","Pop rock,,Rock alternativo","oro","can"
"Dance Hall Days","Wang Chung","1983  UK 1984  US","","New wave,,Pop rock","oro","can"
"Don't Check on Me","Chris Brown","25 giugno 2019","3:25","Contemporary R&B,,Soul,,Pop acustico","oro","can"
"China Girl/Baby","Iggy Pop","maggio 1977","5:08","Art rock,,Post-punk","oro","can"
"Don't Call Me Angel","Ariana Grande,Miley Cyrus,Lana Del Rey","13 settembre 2019","3:10","Pop,,Trap","oro","can"
"Doin' Time","Lana Del Rey","17 maggio 2019","3:22","Trip hop","oro","can"
"Diamonds","Sam Smith","17 settembre 2020","3:32","Elettropop","oro","can"
"Don't Go Breaking My Heart","Backstreet Boys","17 maggio 2018","3:35","Elettropop","oro","can"
"Don't Matter to Me","Drake,Michael Jackson","6 luglio 2018","4:05","Contemporary R&B","oro","can"
"Don't Stop the Party","Pitbull","25 settembre 2012","3:26","Elettrorap","oro","can"
"Do You Mind","DJ Khaled","28 luglio 2016","5:25","Contemporary R&B","oro","can"
"Daisy","Ashnikko","10 luglio 2020","2:26","","oro","can"
"Eenie Meenie","Sean Kingston,Justin Bieber","23 marzo 2010","3:22","Dance pop,,Reggae fusion","oro","can"
"Drifting","G-Eazy","20 novembre 2015","4:33","Alternative hip hop,,Contemporary R&B","oro","can"
"Everything She Wants","Wham!","10 dicembre 1984  ()  17 aprile 1985  ()","","Synth pop,,Dance pop,,New wave","oro","can"
"Doubt","Twenty One Pilots","15 maggio 2015","3:11","Elettrorap","oro","can"
"Down","Fifth Harmony","2 giugno 2017","2:45","Dancehall reggae","oro","can"
"Un día (One Day)","J Balvin,Dua Lipa,Bad Bunny,Tainy","24 luglio 2020","3:51","Musica house,,Pop,,Reggaeton","oro","can"
"Easy Lover","Philip Bailey,Phil Collins","20 novembre 1984","5:02","Pop rock,,Dance rock","oro","can"
"Do What U Want","Lady Gaga","21 ottobre 2013","3:47","Synth pop,,Dance pop","oro","can"
"Drip","Cardi B","4 aprile 2018","4:23","Hip hop,,Trap","oro","can"
"Fall","Eminem","14 settembre 2018","4:22","Hip hop","oro","can"
"Electricity","Dua Lipa,Silk City","7 settembre 2018","3:58","Dance pop,,Musica house","oro","can"
"Fairly Local","Twenty One Pilots","17 marzo 2015","3:27","Alternative hip hop","oro","can"
"Diamonds","Rihanna","27 settembre 2012","3:45","Musica elettronica,,Pop,,Soul","oro","can"
"Fernando","ABBA","27 marzo 1976","4:12","Europop,,Pop","oro","can"
"Everglow","Coldplay","11 novembre 2016","4:42,(versione album),,5:01,(versione singolo),,3:47,(versione radiofonica)","Ballata","oro","can"
"Blue Monday","New Order","7 marzo 1983","7:29,(versione originale),,,4:09,(versione ridotta)","Synth pop,,Alternative dance,,Hi-NRG","oro","can"
"Fire and the Flood","Vance Joy","5 settembre 2014","4:09","Pop","oro","can"
"The Fear","Lily Allen","9 dicembre 2008 (Stati Uniti)  18 dicembre 2008  (Brasile)  26 gennaio 2009  (Regno Unito)","3:25","Elettropop,,Pop","oro","can"
"Faith","George Michael","1987","3:16","Pop rock,,Rock and roll","oro","can"
"Fifteen","Taylor Swift","1º settembre 2009","4:54","Country pop","oro","can"
"Gorilla","Bruno Mars","26 agosto 2013","4:04","Rock,,Contemporary R&B","oro","can"
"Enter Sandman","Metallica","29 luglio 1991","5:37","Heavy metal","oro","can"
"For Your Entertainment","Adam Lambert","3 novembre 2009 (USA)","3:35","Elettropop,,Rock elettronico,,Dance pop","oro","can"
"Filthy","Justin Timberlake","5 gennaio 2018","4:53","Electro,,Contemporary R&B","oro","can"
"Formation","Beyoncé","6 febbraio 2016","3:26","Bounce music","oro","can"
"For You","Liam Payne,Rita Ora","5 gennaio 2018","4:05","Dance,,Elettropop","oro","can"
"Get It Started","Pitbull","25 giugno 2012","4:05","Eurodance","oro","can"
"Focus","Ariana Grande","30 ottobre 2015","3:31","Dance pop","oro","can"
"Fame","Irene Cara","Giugno 1980 (US)  maggio 1982 (UK)","5:14","Pop,,Pop","oro","can"
"The Fox (What Does the Fox Say?)","Ylvis","2 settembre 2013","3:33","Electronic dance music","oro","can"
"Gotham City","R. Kelly","3 giugno 1997","4:55","Contemporary R&B,,Soul,,Gospel","oro","can"
"The Final Countdown","Europe","14 febbraio 1986","5:11,(versione album),,4:03,(versione radio)","Hard rock,,Glam rock","oro","can"
"Got What It Takes?","Lauren Platt","30 dicembre 2015","2:29","Pop,,Dance pop,,Elettropop","oro","can"
"Fame","David Bowie","25 luglio 1975","3:30,(Single edit),,4:12,(album version)","Funk rock","oro","can"
"Get Together","Madonna","6 giugno 2006   10 giugno 2006  ","5:31","Elettropop,,Trance,,Musica elettronica,,Dance","oro","can"
"Grace","Lewis Capaldi","21 settembre 2018","3:04","Rock alternativo","oro","can"
"Good Riddance (Time of Your Life)","Green Day","23 novembre 1997","2:34","Rock alternativo,,Rock acustico,,Ballata","oro","can"
"Gucci Flip Flops","Bhad Bhabie,Lil Yachty","26 marzo 2018","2:30","Hip hop,,Trap","oro","can"
"Hey Look Ma, I Made It","Panic! at the Disco","26 febbraio 2019","2:49","Soul,,Rhythm and blues,,Funk rock","oro","can"
"Heaven","Warrant","14 luglio 1989","3:58","Hair metal,,Pop metal,,Hard rock,,Power ballad","oro","can"
"Happy","Leona Lewis","15 settembre 2009","4:02","Pop,,Contemporary R&B","oro","can"
"Heat of the Night","Bryan Adams","1987","5:07","Rock","oro","can"
"Heroes (We Could Be)","Alesso","4 settembre 2014","3:29","Progressive house","oro","can"
"Home Alone","R. Kelly","30 agosto 1998","4:17","Contemporary R&B,,West Coast hip hop,,Hip hop soul","oro","can"
"Highway Tune","Greta Van Fleet","31 marzo 2017","3:01","Hard rock,,Blues rock","oro","can"
"Hungry Like the Wolf","Duran Duran","4 maggio 1982    3 dicembre 1982 ","3:27","New wave,,Synth pop","oro","can"
"Hold the Line","Toto","2 ottobre 1978","3:56","","oro","can"
"Heartbeat","Childish Gambino","5 novembre 2011","4:30","Hip house,,Elettrorap","oro","can"
"Here Comes Your Man","Pixies","1º giugno 1989","3:21","Rock alternativo","oro","can"
"Heaven Is a Place on Earth","Belinda Carlisle","18 settembre 1987","4:06","Pop rock,,Power pop","oro","can"
"How You Like That","Blackpink","26 giugno 2020  (vedi date di pubblicazione)","3:01","","oro","can"
"Hey Baby (Drop It to the Floor)","Pitbull","14 settembre 2010","03:55","Hip house,,Electro house","oro","can"
