"title","artists","date","duration","genre","award","nation"
"American Idiot","Green Day","31 agosto 2004","2:54","","oro","dk"
"Ain't No Other Man","Christina Aguilera","3 giugno 2006","3:48","Funk,,Pop,,Contemporary R&B","oro","dk"
"All We Know","The Chainsmokers","29 settembre 2016","3:14","Future bass","oro","dk"
"7/11","Beyoncé","25 novembre 2014","3:33","Trap","oro","dk"
"Am I Wrong","Nico & Vinz","12 aprile 2013","4:07 (extended version) – 3:39 (radio edit)","Pop,,Afrobeat","oro","dk"
"1999","Charli XCX,Troye Sivan","5 ottobre 2018","3:09","Eurodance","oro","dk"
"22","Taylor Swift","13 marzo 2013","3:52","Dance pop,,Pop","oro","dk"
"7 Days","Craig David","2000","3:55","Contemporary R&B","oro","dk"
"Amnesia","5 Seconds of Summer","5 settembre 2014","3:57","Pop punk","oro","dk"
"All the Good Girls Go to Hell","Billie Eilish","6 settembre 2019  (vedi date di pubblicazione)","2:48","Pop","oro","dk"
"Angels","Robbie Williams","1º dicembre 1997","4:24","Piano rock,,Pop","oro","dk"
"10,000 Hours","Dan + Shay,Justin Bieber","4 ottobre 2019","2:47","Country pop","oro","dk"
"All The Things She Said","t.A.T.u.","17 agosto 2002","3:34","Pop rock,,Rock elettronico,,Dance rock","oro","dk"
"Antisocial","Ed Sheeran,Travis Scott","12 luglio 2019","2:41","Hip hop","oro","dk"
"L'amour toujours (I'll Fly with You)","Gigi D'Agostino","1999","6:53","Eurodance,,Italodance,,Italo house,,Techno","oro","dk"
"Arms Around You","XXXTentacion,Lil Pump","25 ottobre 2018","3:18","Tropical house,,Dance pop,,Reggaeton,,Contemporary R&B,,Pop rap,,Pop latino","oro","dk"
"Ayy Macarena","Tyga","10 novembre 2019","2:11","Hip hop","oro","dk"
"All Summer Long","Kid Rock","30 marzo 2008   9 giugno 2008 ","4:56","Country rock,,Country,,Southern rock","oro","dk"
"American Oxygen","Rihanna","14 aprile 2015","5:20","Ballata,,Dance,,Dubstep","oro","dk"
"Another Brick in the Wall","Pink Floyd","30 novembre 1979","8:27","Rock progressivo","oro","dk"
"Baby Can I Hold You","Tracy Chapman","1988","3:14","Folk,,Folk,,Pop","oro","dk"
"Adore You","Harry Styles","6 dicembre 2019","3:27","Soul,,Pop rock","oro","dk"
"Ballin'","Mustard,Roddy Ricch","20 agosto 2019","3:00","Hip hop","oro","dk"
"Africa","Toto","1982","4:58","","oro","dk"
"...Baby One More Time","Britney Spears","23 ottobre 1998","3:30","Dance pop,,Teen pop","oro","dk"
"Bad Liar","Selena Gomez","18 maggio 2017  (vedi date di pubblicazione)","3:34","Pop","oro","dk"
"Bad Boys","Zara Larsson","13 ottobre 2013","2:13","Pop","oro","dk"
"Bad and Boujee","Migos","28 ottobre 2016","5:34,(Versione singolo),,,5:43,(Versione album),,,3:27,(Radio edit)","Trap","oro","dk"
"Back to Black","Amy Winehouse","30 aprile 2007 ","4:01","Soul","oro","dk"
"Because of You","Kelly Clarkson","16 agosto 2005","3:39","Soft rock","oro","dk"
"Bad Day","Daniel Powter","8 febbraio 2005   27 giugno 2005   25 luglio  2005   15 febbraio 2006 ","3:52","Pop rock,,Soft rock,,Rock alternativo,,Piano rock","oro","dk"
"Basket Case","Green Day","29 novembre 1994","3:01","","oro","dk"
"The Bad Touch","Bloodhound Gang","Maggio 1999","4:20","Dance pop,,Rock elettronico,,Alternative hip hop,,Eurodisco","oro","dk"
"Bad Liar","Imagine Dragons","6 novembre 2018","4:20","Elettropop","oro","dk"
"Beautiful","Bazzi","2 luglio 2017","2:58","Pop","oro","dk"
"Barbra Streisand","Duck Sauce","10 ottobre 2010","5:00","Nu-disco","oro","dk"
"Believe","Cher","19 ottobre 1998","3:59","Dance pop,,Eurodance,,Hi-NRG","oro","dk"
"Bang My Head","David Guetta","30 ottobre 2015","3:13","Electronic dance music,,Moombahton","oro","dk"
"Be the One","Dua Lipa","30 ottobre 2015","3:22","Synth pop","oro","dk"
"Black Velvet","Alannah Myles","26 luglio 1989","4:49","Blues rock","oro","dk"
"Beautiful Day","U2","9 ottobre 2000","4:08","","oro","dk"
"#Beautiful","Mariah Carey","6 maggio 2013","3:22","Contemporary R&B","oro","dk"
