"title","artists","date","duration","genre","award","nation"
"Ain't No Rest for the Wicked","Cage the Elephant","2008","2:53","Rock alternativo","oro","uk"
"All Around the World","Oasis","12 gennaio 1998","9:20","Britpop,,Rock sinfonico","oro","uk"
"2000 Miles","The Pretenders","1983","3:40","Jangle pop,,Soft rock,,Musica natalizia","oro","uk"
"7 Seconds","Youssou N'Dour,Neneh Cherry","1994","5:08","Pop","oro","uk"
"1999","Charli XCX,Troye Sivan","5 ottobre 2018","3:09","Eurodance","oro","uk"
"1,2 Step","Ciara","15 agosto 2004   11 aprile 2005  ","3:23","Dance pop,,Contemporary R&B","oro","uk"
"After the Afterparty","Charli XCX","28 ottobre 2016","3:39","Elettropop","oro","uk"
"7/11","Beyoncé","25 novembre 2014","3:33","Trap","oro","uk"
"Acceptable in the 80s","Calvin Harris","marzo 2007","5:34","Electro house,,Synth pop,,Nu-disco","oro","uk"
"All in My Head (Flex)","Fifth Harmony","31 maggio 2016","3:30","Reggae fusion","oro","uk"
"Ace of Spades","Motörhead","27 ottobre 1980","2:49","Heavy metal,,Speed metal","oro","uk"
"All Falls Down","Kanye West","24 febbraio 2004","3:43","East Coast hip hop","oro","uk"
"99 Luftballons","Nena","  1983","","New wave,,Dance pop,,NDW","oro","uk"
"Ain't It Different","Headie One","19 agosto 2020","3:16","Hip hop","oro","uk"
"Alive","Sia","24 settembre 2015","4:23","Elettropop","oro","uk"
"22","Taylor Swift","13 marzo 2013","3:52","Dance pop,,Pop","oro","uk"
"All Time Low","The Wanted","25 luglio 2010","3:23","Dance pop","oro","uk"
"Against All Odds (Take a Look at Me Now)","Phil Collins","26 marzo 1984","3:23","Pop,,Soft rock,,Power ballad","oro","uk"
"Army","Ellie Goulding","9 gennaio 2016","3:57","Elettropop","oro","uk"
"All the Small Things","Blink-182","18 gennaio 2000","2:48","Pop punk,,Power pop","oro","uk"
"Always Be My Baby","Mariah Carey","9 marzo 1996","4:18","Contemporary R&B","oro","uk"
"All of the Lights","Kanye West","25 novembre 2010","4:59","Elettrorap","oro","uk"
"Amnesia","5 Seconds of Summer","5 settembre 2014","3:57","Pop punk","oro","uk"
"Another Love","Tom Odell","15 ottobre 2012","4:06","Indie pop,,Rock,,Dance rock,,Musica etnica","oro","uk"
"17","XXXTentacion","25 agosto 2017","21:54","Emo rap,,Rock alternativo,,Hip hop,,Lo-fi,,Grunge","oro","uk"
"4 Minutes","Madonna,Justin Timberlake","17 marzo 2008","4:04,(Album Version),,3:10,(Radio Edit)","Contemporary R&B","oro","uk"
"All the Lovers","Kylie Minogue","11 giugno 2010","3:22","Elettropop,,Disco","oro","uk"
"Ain't It Fun","Paramore","4 febbraio 2014","4:56","Pop rock,,New wave,,Funk rock","oro","uk"
"Angel","Shaggy","6 marzo 2001","3:31","Reggae fusion","oro","uk"
"American Pie","Don McLean","1971","8:27","Folk rock","oro","uk"
"Around the World","Daft Punk","17 marzo 1997","7:07","French house","oro","uk"
"Bag It Up","Geri Halliwell","13 marzo 2000","3:46","Dance pop","oro","uk"
"Baby","Clean Bandit","2 novembre 2018","3:25","Reggae fusion","oro","uk"
"Are You Ready for Love?","Elton John","1979 2003","3:39","Pop rock","oro","uk"
"Alone","Heart","maggio 1987","3:38","Rock,,Hard rock","oro","uk"
"Bad Liar","Selena Gomez","18 maggio 2017  (vedi date di pubblicazione)","3:34","Pop","oro","uk"
"Be My Baby","The Ronettes","1963","2:41","Pop","oro","uk"
"Anaconda","Nicki Minaj","4 agosto 2014","4:13","Trap,,Pop rap","oro","uk"
"As Long as You Love Me","Justin Bieber","10 luglio 2012","3:49","Elettropop,,Dance","oro","uk"
"Bad Moon Rising","Creedence Clearwater Revival","3 agosto 1969","2:20","Rock","oro","uk"
"Beat Again","JLS","12 luglio 2009","3:19","Dance pop,,Contemporary R&B","oro","uk"
"Bailando","Enrique Iglesias","28 marzo 2014","4:03","Pop latino,,Dance pop","oro","uk"
